Analysis.Region,Object.Id,XMin,XMax,YMin,YMax,DAPI..DAPI..Positive.Classification,DAPI..DAPI..Positive.Nucleus.Classification,DAPI..DAPI..Nucleus.Intensity,DAPI..DAPI..Cell.Intensity,M1..Opal.480..Positive.Classification,M1..Opal.480..Positive.Nucleus.Classification,M1..Opal.480..Nucleus.Intensity,M1..Opal.480..Cell.Intensity,M2..Opal.520..Positive.Classification,M2..Opal.520..Positive.Cytoplasm.Classification,M2..Opal.520..Cytoplasm.Intensity,M2..Opal.520..Cell.Intensity,M3..Opal.570..Positive.Classification,M3..Opal.570..Positive.Nucleus.Classification,M3..Opal.570..Nucleus.Intensity,M3..Opal.570..Cell.Intensity,M4..Opal.620..Positive.Classification,M4..Opal.620..Positive.Cytoplasm.Classification,M4..Opal.620..Cytoplasm.Intensity,M4..Opal.620....Cytoplasm.Completeness,M4..Opal.620..Cell.Intensity,M5..Opal.650..Positive.Classification,M5..Opal.650..Positive.Cytoplasm.Classification,M5..Opal.650..Cytoplasm.Intensity,M5..Opal.650..Cell.Intensity,M6..Opal.690..Positive.Classification,M6..Opal.690..Positive.Cytoplasm.Classification,M6..Opal.690..Cytoplasm.Intensity,M6..Opal.690..Cell.Intensity,M7..Opal.780..Positive.Classification,M7..Opal.780..Positive.Cytoplasm.Classification,M7..Opal.780..Cytoplasm.Intensity,M7..Opal.780....Cytoplasm.Completeness,M7..Opal.780..Cell.Intensity,Cell.Area..µm..
Tumour,32391,27333,27340,29995,30006,1,1,20.872751,19.701393,1,1,0.331104,0.328261,0,0,0.626181,0.516049,0,0,0.317427,0.297546,0,0,0,0,0,0,0,4.028137,4.052541,0,0,4.222647,4.011312,0,0,0.2913,0,0.287351,13.770578
Tumour,32433,27492,27503,30017,30030,1,1,26.02184,25.40143,1,1,0.091672,0.094576,0,0,0.837889,0.777373,0,0,0.706571,0.691275,0,0,0,0,0,0,0,6.626218,5.667134,1,1,6.661252,5.690183,0,0,0.24201,0,0.223466,25.538164
Tumour,32455,27737,27746,30029,30037,1,1,22.118332,18.616049,0,0,0.00911,0.007343,0,0,0.967771,1.008515,0,0,0.868466,0.815256,0,0,1.88189,41.17647,1.982471,0,0,4.470997,5.249784,0,0,3.339319,4.251103,0,0,0.300699,0,0.316968,16.524694
Tumour,32460,27568,27584,30031,30041,1,1,23.740335,22.480997,1,1,0.211721,0.19431,0,0,1.685642,1.322873,0,0,0.423498,0.409247,0,0,0,0,0.000782,0,0,5.948123,5.273372,1,1,8.037315,7.369411,0,0,0.263855,0,0.226562,40.810986
Tumour,32468,27048,27061,30033,30053,1,1,30.409016,27.958965,0,0,0.047042,0.052694,0,0,0.561014,0.604809,0,0,0.528207,0.504541,0,0,0,0,0.00246,0,0,4.191785,5.237868,0,0,3.676365,5.013266,0,0,0.341261,0,0.365515,56.08381
Tumour,32488,27187,27207,30046,30067,1,1,27.715912,25.166704,1,1,0.123604,0.105456,0,0,0.512766,0.521896,0,0,0.177825,0.164736,0,0,0,0,9e-05,0,0,4.891788,5.398094,0,0,4.482241,5.215015,0,0,0.268696,0,0.263866,83.124214
Tumour,32490,27754,27762,30046,30056,1,1,29.474316,24.637142,0,0,0.002163,0.003254,0,0,0.701643,0.703325,0,0,0.372059,0.383213,0,0,0.207767,0,0.110707,0,0,1.863919,2.202809,0,0,1.430506,1.76922,0,0,0.41386,28.57143,0.455107,20.029932
Tumour,32501,27239,27257,30050,30063,1,1,19.500082,16.954245,1,1,0.082249,0.064019,0,0,0.492721,0.501999,0,0,0.152562,0.142977,0,0,0,0,0,0,0,4.250789,3.959358,0,0,3.833692,3.627325,0,0,0.278698,0,0.246241,48.572586
Tumour,32510,27130,27140,30057,30062,1,1,23.180103,21.623644,1,1,0.976272,0.97078,0,0,0.665551,0.701103,0,0,0.446285,0.420724,0,0,0.028548,0,0.00958,0,0,3.302484,3.444382,0,0,3.590992,3.219714,0,0,0.193859,0,0.21735,11.016462
Tumour,32521,27261,27275,30061,30076,1,1,26.032728,23.841827,1,1,0.769214,0.64127,0,0,0.561268,0.593429,0,0,0.243466,0.225089,0,0,0,0,0.001846,0,0,4.155215,4.411641,0,0,3.502744,3.91111,0,0,0.273056,0,0.269914,44.316223
Tumour,32533,27236,27251,30066,30089,1,1,29.809942,27.543827,1,1,0.459012,0.38522,0,0,0.53407,0.533844,0,0,0.298925,0.274721,0,0,0,0,0.000328,0,0,5.290408,4.337124,0,0,4.806666,4.295131,0,0,0.256403,0,0.235422,60.590546
